"Faturamento por dia Tradiça  ","","","","","","","","","","","",""
"Data ","","","","99","","","","","","","",""
"Quarta 25/02","R$ 761,84","R$ 1.034,60","R$ 519,00","","R$ 2.315,44","","","","","","",""
"Quinta 26/02","R$ 1.101,95","R$ 958,30","R$ 556,85","","R$ 2.617,10","","","","","","",""
"Sexta 27/02","R$ 1.453,49","R$ 1.558,41","R$ 889,88","","R$ 3.901,78","","","","","","",""
"sabado 28/02","R$ 1.133,46","R$ 1.079,00","R$ 977,44","","R$ 3.189,90","","","","","","",""
"domingo 01/03","R$ 597,87","R$ 1.025,67","R$ 972,30","","R$ 2.595,84","","","","","","",""
"Terça 03/03","R$ 791,77","R$ 867,68","R$ 404,36","","R$ 2.063,81","","","","","","",""
"Quarta 04/03","R$ 668,00","R$ 934,20","R$ 638,15","","R$ 2.240,35","","","","","","",""
"Quinta 05/03","R$ 1.076,88","R$ 552,18","R$ 508,38","","R$ 2.137,44","","","","","","",""
"Sexta 06/03","R$ 1.248,18","R$ 1.706,45","R$ 699,18","","R$ 3.653,81","","","","","","",""
"sabado 07/03","R$ 588,18","R$ 2.653,85","R$ 1.018,15","","R$ 4.260,18","","","","","","",""
"domingo 08/03","R$ 563,61","R$ 1.826,48","R$ 976,60","","R$ 3.366,69","","","","","","",""
"Terça 10/03","R$ 661,13","R$ 611,56","R$ 600,16","","R$ 1.872,85","","","","","","",""
"Quarta 11/03","R$ 924,42","R$ 1.136,87","R$ 476,98","","R$ 2.538,27","","","","","","",""
"Quinta 12/03 ","R$ 639,79","R$ 851,67","R$ 719,06","","R$ 2.210,52","","","","","","",""
"Sexta 13/03","R$ 1.150,84","R$ 1.247,86","R$ 1.098,24","","R$ 3.496,94","","","","","","",""
"sabado 14/03","R$ 791,14","R$ 1.432,41","R$ 496,35","","R$ 2.719,90","","","","","","",""
"domingo 15/03","R$ 719,57","R$ 2.131,93","R$ 577,56","","R$ 3.429,06","","","","","","",""
"terça 17/03","R$ 634,03","R$ 612,38","R$ 313,37","","R$ 1.559,78","","","","","","",""
"quarta 18/03","R$ 318,09","R$ 527,58","R$ 308,98","","R$ 1.154,65","","","","","","",""
"quinta 19/03","R$ 530,31","R$ 450,70","R$ 615,76","","R$ 1.596,77","","","","","","",""
"Sexta 20/03","R$ 1.651,57","R$ 1.267,38","R$ 992,32","","R$ 3.911,27","","","","","","",""
"sabado 21/03","R$ 545,81","R$ 836,24","R$ 645,47","","R$ 2.027,52","","","","","","",""
"domingo 22/03","R$ 728,25","R$ 1.448,24","R$ 1.005,32","","R$ 3.181,81","","","","","","",""
"Terça 24/03","R$ 755,11","R$ 438,32","R$ 521,27","","R$ 1.714,70","","","","","","",""
"Quarta 25/03","R$ 904,50","R$ 918,30","R$ 287,97","","R$ 2.110,77","","","","","","",""
"Quinta 26/03","R$ 996,62","R$ 792,31","R$ 483,16","","R$ 2.272,09","","","","","","",""
"Sexta 27/03","R$ 1.313,98","R$ 1.212,51","R$ 533,05","","R$ 3.059,54","","","","","","",""
"sabado 28/03","R$ 820,17","R$ 942,32","R$ 666,96","","R$ 2.429,45","","","","","","",""
"domingo 29/03","R$ 577,88","R$ 1.284,35","R$ 1.070,86","","R$ 2.933,09","","","","","","",""
"Terça 31/03","R$ 694,71","R$ 644,07","R$ 202,35","","R$ 1.541,13","","","","","","",""
"Quarta 01/04 ","R$ 836,53","R$ 732,43","R$ 282,96","","R$ 1.851,92","","","","","","",""
"Quinta 02/04","R$ 649,70","R$ 1.110,82","R$ 708,77","","R$ 2.469,29","","","","","","",""
"Sexta 03/04","R$ 439,75","R$ 1.012,47","R$ 125,39","","R$ 1.577,61","","","","","","",""
"sábado 04/04","R$ 713,85","R$ 1.679,57","R$ 549,98","","R$ 2.943,40","","","","","","",""
"domingo 05/04","R$ 743,48","R$ 1.802,11","R$ 120,49","","R$ 2.666,08","","","","","","",""
"Terça 07/04","R$ 1.060,46","R$ 272,78","R$ 418,47","","R$ 1.751,71","","","","","","",""
"quarta 08/04","R$ 1.194,24","R$ 470,36","R$ 265,50","","R$ 1.930,10","","","","","","",""
"quinta 09/04","R$ 947,30","R$ 271,24","R$ 191,75","","R$ 1.410,29","","","","","","",""
"sexta 10/04","R$ 1.992,76","R$ 996,74","R$ 455,55","","R$ 3.445,05","","","","","","",""
"sábado 11/04","R$ 515,36","R$ 1.051,57","R$ 363,61","","R$ 1.930,54","","","","","","",""
"domingo 12/04","R$ 704,32","R$ 895,22","R$ 490,98","","R$ 2.090,52","","","","","","",""
"terça 14/04","R$ 883,27","R$ 562,89","R$ 295,54","","R$ 1.741,70","","","","","","",""
"quarta 15/04","R$ 725,09","R$ 566,86","R$ 177,28","","R$ 1.469,23","","","","","","",""
"quinta 16/04","R$ 1.004,02","R$ 580,71","R$ 421,40","","R$ 2.006,13","","","","","","",""
"Sexta 17/04","R$ 1.440,70","R$ 732,16","R$ 1.089,11","","R$ 3.261,97","","","","","","",""
"sábado 18/04","R$ 611,50","R$ 666,67","R$ 1.025,39","","R$ 2.303,56","","","","","","",""
"domingo 19/04","R$ 676,99","R$ 590,43","R$ 1.662,88","","R$ 2.930,30","","","","","","",""
"Terça 21/04","R$ 634,58","R$ 495,32","R$ 915,88","","R$ 2.045,78","","","","","","",""
"Quarta 22/04","R$ 556,71","R$ 498,55","R$ 669,57","","R$ 1.724,83","","","","","","",""
"Quinta 23/04","R$ 641,06","R$ 191,90","R$ 304,40","","R$ 1.137,36","","","","","","",""
"Sexta 24/04","R$ 1.033,68","R$ 350,76","R$ 760,66","","R$ 2.145,10","","","","","","",""
"sábado 25/04","R$ 753,33","R$ 722,44","R$ 662,46","","R$ 2.138,23","","","","","","",""
"domingo 26/04","R$ 935,07","R$ 906,64","R$ 986,12","","R$ 2.827,83","","","","","","",""
"Terça 28/04","R$ 814,48","R$ 543,46","R$ 639,72","","R$ 1.997,66","","","","","","",""
"Quarta 29/04","R$ 1.077,59","R$ 571,49","R$ 658,22","","R$ 2.307,30","","","","","","",""
"Quinta 30/04","R$ 935,95","R$ 668,17","R$ 1.047,39","","R$ 2.651,51","","","","","","",""
"Sexta 01/05","R$ 1.218,39","R$ 810,67","R$ 1.203,27","","R$ 3.232,33","","","","","","",""
"sábado 02/05","R$ 765,10","R$ 1.295,28","R$ 633,33","","R$ 2.693,71","","","","","","",""
"domingo 03/05","R$ 808,01","R$ 914,85","R$ 1.204,74","","R$ 2.927,60","","","","","","",""
"Terça 05/05","R$ 644,18","R$ 366,14","R$ 442,12","","R$ 1.452,44","","","","","","",""
"Quarta 06/05","R$ 1.010,11","R$ 469,35","R$ 462,16","","R$ 1.941,62","","","","","","",""
"Quinta 07/05","R$ 1.173,30","R$ 943,00","R$ 902,68","","R$ 3.018,98","","","","","","",""
"Sexta 08/05","R$ 1.366,74","R$ 1.273,53","R$ 629,07","","R$ 3.269,34","","","","","","",""
"sábado 09/05","R$ 956,55","R$ 1.273,39","R$ 1.030,44","","R$ 3.260,38","","","","","","",""
"domingo 10/05","R$ 423,77","R$ 1.582,73","R$ 732,16","","R$ 2.738,66","","","","","","",""
